arm,entry_id,utterance_id,ref_tokens,hyp_tokens,S,D,I,wer,flagged,flag_reason
builtin+vi,103763c2-1616-4239-8832-a01753728a81,U12,13,13,1,0,0,0.0769,False,
builtin+vi,1a1f3c9c-de3b-4e7d-90e5-70d8c73fcfba,U16,12,12,0,0,0,0.0,False,
builtin+vi,1e18e321-8161-4558-b0f5-54282c92aa9c,U04,10,10,0,0,0,0.0,False,
builtin+vi,1f1862f4-2358-4587-bf98-c12a06b8a88d,U09,12,12,1,0,0,0.0833,False,
builtin+vi,327b98aa-d5bd-45f1-8021-0ee1223711f4,U11,13,12,1,1,0,0.1538,False,
builtin+vi,330b3ec5-0ad2-405d-82f7-7d1d0c624074,U18,12,12,0,0,0,0.0,False,
builtin+vi,362f1598-61a0-45ac-9c2b-7f203d64fa16,U06,11,11,0,0,0,0.0,False,
builtin+vi,47a7f77a-3ae6-4bc5-9e0c-e0f493c8091c,U15,13,12,1,1,0,0.1538,False,
builtin+vi,4efd6f1c-bc5f-4fae-a812-63606256b442,U03,13,13,0,0,0,0.0,False,
builtin+vi,71af2245-5209-4e2b-a10c-4621eff9d30c,U02,11,12,1,0,1,0.1818,False,
builtin+vi,743163aa-201f-4592-80dc-7221d04cbc89,U07,11,10,4,1,0,0.4545,False,
builtin+vi,85c2722b-bf7b-470f-aaf3-1501087fbc7b,U19,11,11,0,0,0,0.0,False,
builtin+vi,9b3b611d-dd02-43b0-a076-59820bc240ef,U01,9,9,0,0,0,0.0,False,
builtin+vi,9fb15fa3-5df9-4b60-aa83-207d231b3eba,U14,11,11,0,0,0,0.0,False,
builtin+vi,a3f266fc-0502-4a76-8b0a-a1b337145d58,U17,12,12,0,0,0,0.0,False,
builtin+vi,b0ae7781-fea1-4bff-9e49-e5599e519d69,U10,11,11,0,0,0,0.0,False,
builtin+vi,bba9d0ab-8f8d-43ca-bbe9-d16df98dc787,U20,13,13,0,0,0,0.0,False,
builtin+vi,c2a178d2-e5a2-4416-ad5c-35531fb5eea5,U08,11,11,0,0,0,0.0,False,
builtin+vi,d138dcbf-0175-434b-9db5-06fbe78958bd,U05,11,11,1,0,0,0.0909,False,
builtin+vi,d8219ba9-667e-4dd3-9099-b74359d2373c,U13,10,10,0,0,0,0.0,False,
builtin-raw,05a80d75-14fc-4339-9c89-002e68c8e8ce,U03,13,13,0,0,0,0.0,False,
builtin-raw,079c9868-51ed-428f-8ef8-81483e18e89c,U20,13,13,0,0,0,0.0,False,
builtin-raw,09c7809d-eec4-4153-a170-f506c801acd3,U15,13,12,1,1,0,0.1538,False,
builtin-raw,34d2aa42-d078-4a31-9774-1fae25925753,U02,11,12,1,0,1,0.1818,False,
builtin-raw,459931b1-3d6d-4d83-b445-092094c8b710,U05,11,11,1,0,0,0.0909,False,
builtin-raw,49f09cbb-9295-4cd5-8e04-7013097a6e11,U17,12,12,0,0,0,0.0,False,
builtin-raw,5c4d03eb-b304-498a-9496-f54b1bea7a2c,U11,13,13,2,1,1,0.3077,False,
builtin-raw,5ca7ffab-5809-4bd5-a401-2bcfe66cc09a,U12,13,12,1,1,0,0.1538,False,
builtin-raw,5f36f428-4110-4ab0-adfc-eb67fe92e1ec,U10,11,11,0,0,0,0.0,False,
builtin-raw,7866ad1e-b87b-400b-95fb-bd407484e3b0,U14,11,11,0,0,0,0.0,False,
builtin-raw,79344152-879f-4c21-a002-9bf76e3b703b,U07,11,11,2,0,0,0.1818,False,
builtin-raw,81d3a45f-21bf-423d-9edd-f7a3ac5b5622,U18,12,12,0,0,0,0.0,False,
builtin-raw,889e5ae3-03b9-4b08-bf15-87a42c0c9ea4,U04,10,10,0,0,0,0.0,False,
builtin-raw,8afc55d9-835d-4c93-a1b0-4ceb97b331f8,U13,10,10,0,0,0,0.0,False,
builtin-raw,8be8f442-7220-4768-9cf8-4431601d5db0,U06,11,11,0,0,0,0.0,False,
builtin-raw,9690130f-d219-4459-a6d3-3406e8a8e94a,U08,11,11,0,0,0,0.0,False,
builtin-raw,cc3019ef-ac3d-453b-9bf6-fc3099bfa5e5,U16,12,12,0,0,0,0.0,False,
builtin-raw,f1e2e3af-94ea-4834-9252-472a83e8295b,U19,11,11,2,0,0,0.1818,False,
builtin-raw,fc77e267-2ab0-47fc-88dd-5eb72b02ea10,U09,12,12,1,0,0,0.0833,False,
builtin-raw,fc99690d-6635-4abb-a0bb-8fc62e9615ea,U01,9,9,0,0,0,0.0,False,
builtin-std,01ce604d-bd3c-425b-a5cc-f4b3deb36d21,U08,11,11,0,0,0,0.0,False,
builtin-std,19487648-6da9-4de8-adf9-0155a91ef641,U01,9,9,0,0,0,0.0,False,
builtin-std,28b931ed-5cfe-4c76-8b9f-6349af4a8790,U06,11,11,0,0,0,0.0,False,
builtin-std,3204f0c7-9598-4f23-8e73-492193e539d1,U16,12,12,0,0,0,0.0,False,
builtin-std,3555ed76-1356-4c03-8730-b79f03c4ff80,U11,13,13,2,1,1,0.3077,False,
builtin-std,3a823a6c-d254-422a-beb8-85f93fab3d46,U14,11,10,1,1,0,0.1818,False,
builtin-std,463405e3-daf2-49b0-9198-3d04c29889f6,U19,11,11,0,0,0,0.0,False,
builtin-std,56846c18-eb98-40f2-b7b0-ef16f5ddf277,U04,10,10,0,0,0,0.0,False,
builtin-std,5738c84a-0b84-4527-8607-1f7334fb4688,U18,12,12,0,0,0,0.0,False,
builtin-std,57fc24fe-9b40-4c83-a83d-fb06fdc2b110,U05,11,11,1,0,0,0.0909,False,
builtin-std,6f916c71-8d72-4c97-adc0-1396e4b3d271,U20,13,13,0,0,0,0.0,False,
builtin-std,7444f143-54e7-4c12-b8b0-3df47e056e15,U13,10,10,0,0,0,0.0,False,
builtin-std,84792923-828a-4ec0-baa3-b948004a9fa0,U03,13,13,0,0,0,0.0,False,
builtin-std,8532156b-c979-47b8-aa73-5a35b390e55c,U15,13,12,1,1,0,0.1538,False,
builtin-std,8c7f4685-5c71-42ce-a410-81f8c5fe0f18,U10,11,11,0,0,0,0.0,False,
builtin-std,b5ffebe0-c9ac-431d-a557-5ae8ce494272,U07,11,11,2,0,0,0.1818,False,
builtin-std,c918dc18-848b-4c7c-85f6-ebd1d2f4f4a6,U02,11,12,1,0,1,0.1818,False,
builtin-std,cf9844fd-48ca-40d3-a403-cbf763431699,U17,12,12,0,0,0,0.0,False,
builtin-std,e93e7a37-94e0-4046-8eca-017627bc1f8b,U09,12,12,1,0,0,0.0833,False,
builtin-std,fb06c754-b4aa-48e8-b211-00a4dd192704,U12,13,13,1,0,0,0.0769,False,
